breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Lab Pointer,https://dogtime.com/dog-breeds/lab-pointer,3,1,4,3,1,4,4,4,5,4,3,4,3,2,2,4,4,4,4,4,5,4,2,4,2,4,4,5,3,5,4,Mixed Breed Dogs,22 to 28 inches,35 to 80 pounds,10 to 15 years,"The Lab Pointer is a mixed breed dog — a cross between the Labrador Retriever and Pointer dog breeds. Energetic, loyal, and intelligent, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/lab-pointer-mixed-dog-breed-pictures-cover.jpg?w=760
Labernese,https://dogtime.com/dog-breeds/labernese,3,2,4,4,1,4,2,4,4,5,4,3,3,4,3,3,2,4,4,3,3,4,3,3,2,4,4,4,2,4,5,Mixed Breed Dogs,24 to 28 inches,65 to 110 pounds,6 to 12 years,"The Labernese is a large, lovable, and loyal crossbreed that combines the best traits of the Bernese Mountain Dog and the Labrador Retriever. This hybrid dog has a thick coat, often tri-colored, and a muscular yet graceful build. Their gentle, affectionate nature contradicts their impressive size, making them loyal and devoted companions.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1205141150-e1715182645427.jpg?w=1024
Labmaraner,https://dogtime.com/dog-breeds/labmaraner,3,1,4,4,1,3,3,4,4,5,4,3,3,1,2,4,4,4,4,4,4,4,3,3,3,4,4,4,3,5,5,Mixed Breed Dogs,21 to 24 inches,60 to 100 pounds,10 to 12 years,"The Labmaraner is a mixed breed dog — a cross between the Labrador Retriever and Weimaraner dog breeds. Intelligent, active, and friendly, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/labmaraner-mixed-dog-breed-pictures-cover.jpg?w=760
Labrabull,https://dogtime.com/dog-breeds/labrabull,3,2,2,4,1,3,3,4,5,5,2,5,4,5,2,5,3,3,4,4,5,5,5,3,3,4,5,5,5,4,5,Mixed Breed Dogs,20 to 24 inches ,45 to 90 pounds ,10 to 14 years ,"The Labrabull is a mixed breed dog — a cross between the American Pit Bull Terrier and the Labrador Retriever dog breeds. Medium in size, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/Labrabull-mixed-dog-breed-pictures-cover.jpg?w=760
Labradane,https://dogtime.com/dog-breeds/labradane,3,1,2,3,2,4,4,4,5,5,4,3,4,2,3,4,4,4,5,3,3,4,2,3,1,3,4,4,2,4,5,Mixed Breed Dogs,24 to 30 inches,100 to 180 pounds,8 to 12 years,"The Labradane is a mixed breed dog — a cross between the Labrador Retriever and Great Dane dog breeds. Loyal, affectionate, and playful, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/labradane-mixed-dog-breed-pictures-cover.jpg?w=760
Labradoodle,https://dogtime.com/dog-breeds/labradoodle,4,3,4,3,4,5,4,5,5,4,5,5,3,3,1,4,4,3,4,3,4,4,1,2,2,3,5,5,4,5,5,Hybrid Dogs,21 to 24 inches at the shoulder,50 to 65 pounds,12 to 14 years,"It’s not surprising that the Labradoodle has gained such popularity so quickly. Originally developed to be hypoallergenic guide dogs, the first planned crosses of Poodles and Labrador Retrievers were arranged by the Royal Guide Dogs Association of Australia. The result was a Labradoodle — a smart and sociable dog who not only possessed a nature appropriate for service dogs but also had a low-shedding coat. While the hybrid is not yet achieving consistent results in coat or temperament, they’re wildly popular and affectionate dogs. They are referred to in Australia as “Cobberdogs.”",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1208092301-e1692490137729.jpg?w=1024
Labrador Retriever,https://dogtime.com/dog-breeds/labrador-retriever,3,1,3,5,2,3,3,5,5,5,5,5,4,5,3,5,3,5,4,4,5,5,5,2,4,3,5,5,5,5,5,Sporting Dogs,21 to 24 inches at the shoulder,55 to 80 pounds,10 to 12 years,"The Labrador Retriever is one of the most popular dog breeds worldwide, known for their friendly and outgoing nature. With their iconic floppy ears, expressive eyes, and wagging tails, Labs exude charm and warmth. Renowned for their athletic abilities and eagerness to please, Labs excel in various roles, from therapy work to search and rescue. The Labrador’s gentle and patient temperament also makes them exceptional companions for children, earning them the reputation of being one of the best family dogs.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-590608307-e1706029609404.jpg?w=1024
Labrastaff,https://dogtime.com/dog-breeds/labrastaff,3,2,2,4,1,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,2,4,3,3,3,4,4,4,3,4,4,Mixed Breed Dogs,17 to 24 inches,40 to 80 pounds,10 to 14 years,"The Labrastaff is a mixed breed dog — a cross between the Labrador Retriever and Staffordshire Bull Terrier dog breeds. Athletic, loyal, and intelligent, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/labrastaff-mixed-dog-breed-picture-cover.jpg?w=760
Labsky,https://dogtime.com/dog-breeds/labsky,2,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,5,5,4,5,5,Mixed Breed Dogs,20 to 28 inches,40 to 60 pounds,10 to 12 years,"The Labsky is a mixed breed dog — a cross between the Labrador Retriever and Siberian Husky dog breeds. Active, smart, and loyal, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/labsky-mixed-dog-breed-pictures-cover.jpg?w=760
Lagotto Romagnolo,https://dogtime.com/dog-breeds/lagotto-romagnolo,3,2,4,3,3,4,3,3,3,3,3,3,2,1,2,1,4,3,2,3,4,4,2,4,3,3,4,4,2,4,4,Sporting Dogs,14 to 19 inches,24 to 35 pounds,14 to 17 years,"The Lagotto Romagnolo, or Italian Water Dog, was originally bred to hunt waterfowl through the wet marshlands of Romagna in Italy, but today it is best known for its truffle hunting skills. Consequently, with many of the marshlands drained, the Lagotto has found a new purpose. Humans can easily train these dogs to use their keen sense of smell for scent work. Their thick coats help them stay warm in the fall and winter, and protect them from thorns and debris as they run through forests.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1211722924-2-e1697045871165.jpg?w=1024
Lakeland Terrier,https://dogtime.com/dog-breeds/lakeland-terrier,3,4,3,3,2,4,4,4,5,4,3,3,3,2,1,2,5,3,2,3,2,4,1,4,2,3,4,5,4,4,4,Terrier Dogs,"1 foot, 1 inch to 1 foot, 2 inches tall at the shoulder",15 to 17 pounds,12 to 15 years,"The Lakeland Terrier was first bred to hunt the foxes that preyed on sheep during the lambing season in Northern England’s Lake District. Today’s Lakies, as these lively, feisty little dogs are nicknamed, are affectionate, friendly, and self-confident. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Always prioritize adoption if this is the breed for you.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1316778991-e1694448033355.jpg?w=1024
Lancashire Heeler,https://dogtime.com/dog-breeds/lancashire-heeler,3,2,2,3,3,3,3,3,4,3,3,2,3,3,1,4,4,4,1,3,3,4,2,2,2,4,4,4,4,3,4,Herding Dogs,10 inches to 1 foot tall at the shoulder,13 to 15 pounds,9 to 14 years,"The Lancashire Heeler is a small to medium-sized working dog who was once used to drive livestock to market and hunt rats and rabbits. They are a beloved companion dog breed in their native Britain, although they are considered an endangered breed by the Kennel Club. Lancashire Heelers resemble their Corgi cousins and have an intelligent, mischievous, and sometimes stubborn temperament. That can make them difficult to train, so they’ll probably do best with an experienced pet-parent.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1432487561-e1694451218118.jpg?w=1024
Leonberger,https://dogtime.com/dog-breeds/leonberger,2,1,1,4,2,5,1,4,5,4,3,2,4,5,3,4,1,4,5,3,2,3,4,4,3,2,4,4,4,4,4,Working Dogs,"2 feet, 1 inch to 2 feet, 7 inches tall at the shoulder",120 to 170 pounds,10 to 12 years,"The Leonberger is a large, gentle giant of a dog that originated in Germany. The jumbo-sized dog breed is a mix of the Newfoundland, longhaired Saint Bernard, and Great Pyrenees. They are known for their lion-like appearance, with a long, thick coat that can be golden, red, or brown. Leonbergers are also known for their loyalty, intelligence, and trainability. They make great family dogs and are known to be good with children. However, they do require a lot of exercise and grooming.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1222400991-e1694096032487.jpg?w=1024
Lhasa Apso,https://dogtime.com/dog-breeds/lhasa-apso,4,5,5,5,4,3,2,3,4,4,3,2,2,3,1,1,3,3,1,3,3,4,3,4,4,2,4,4,3,3,5,Companion Dogs,9 inches to 11 inches tall at the shoulder,12 to 15 pounds,12 to 15 years,"The Lhasa Apso is a small companion breed originally bred to be a watchdog in the monasteries of Tibet. While the Lhasa is no longer a revered sentinel, the breed is still cherished as a loyal family companion worldwide. Don’t be fooled by this breed’s small size — they’re also full of spunk!",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1483197154-e1693252246421.jpg?w=1024
Lhasapoo,https://dogtime.com/dog-breeds/lhasapoo,3,4,2,4,2,3,3,3,4,3,3,1,3,1,1,3,4,3,3,3,3,5,2,2,4,2,4,4,4,3,4,Mixed Breed Dogs,9 to 13 inches,10 to 15 pounds,10 to 15 years,"Protective, loyal, and playful, the Lhasapoo is a relatively new Poodle mix. These hypoallergenic dogs inherited some of the best qualities from both of their parents. Although they are considered a designer breed, always prioritize adoption when looking for your future forever friend.",https://dogtime.com/wp-content/uploads/sites/12/2024/04/GettyImages-1179514000-e1714149752455.jpg?w=1024
Lowchen,https://dogtime.com/dog-breeds/lowchen,3,5,4,3,1,3,3,5,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,4,4,3,4,5,Companion Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",9 to 18 pounds,13 to 15 years,"The Lowchen, often referred to as the “Little Lion Dog,” is a small and lively toy breed that boasts a distinctive lion-like mane and a friendly, affectionate nature. With a compact and well-balanced body, Lowchen typically stand between 10 to 13 inches tall at the shoulder and weigh around 9 to 18 pounds. Their luxurious, long, and wavy coat can come in various colors, including shades of black, white, lemon, and chocolate. Regular grooming is necessary to maintain the coat’s health and prevent matting.",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-899407726-e1700520507319.jpg?w=1024
Maltese,https://dogtime.com/dog-breeds/maltese,3,5,5,4,1,1,3,4,5,3,4,2,2,2,1,2,3,3,1,3,4,4,3,4,2,1,3,3,3,2,4,Companion Dogs,8 inches to 10 inches tall at the shoulder,Up to 7 pounds,12 to 15 years,"The Maltese is a small, white, long-haired companion dog from the Mediterranean island of Malta. They are playful and affectionate, and have been prized companions for centuries. Maltese dogs are full of energy, but they require only occasional exercise to keep them healthy and happy. A short walk or playtime in the yard is usually enough to satisfy their needs. They are not high-maintenance dogs, and their long hair only needs to be brushed a few times a week.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1160956147-e1694625569541.jpg?w=1024
Maltese Shih Tzu,https://dogtime.com/dog-breeds/maltese-shih-tzu,3,5,5,3,3,2,2,3,4,3,3,3,2,1,1,2,2,3,1,4,4,3,4,5,4,1,3,3,2,3,3,Hybrid Dogs,From 10 inches tall at the shoulder,6 to 12 pounds,12 to 14 years,"The Maltese Shih Tzu is a small companion hybrid dog breed of the Maltese and Shih Tzu. Created with the same goal as Doodles — to be a small, allergy-friendly companion who doesn’t shed much — this hybrid is a sweet lapdog who likes to play with the kids. They are also known as the Mal-Shi, Malti zu, and the Malt-Tzu. ",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-184919092-e1698683026132.jpg?w=1024
Maltipoo,https://dogtime.com/dog-breeds/maltipoo,4,5,5,5,1,2,3,4,5,4,4,4,2,1,1,3,2,2,2,4,5,4,3,2,5,4,3,3,3,2,4,Hybrid Dogs,"8 inches to 1 foot, 2 inches tall at the shoulder",5 to 20 pounds,10 to 13 years,"The Maltipoo is a cross between a Maltese and a Poodle, another hybrid breed in the recently popular category of doodle dogs. Alert and active, the Maltese Poodle mix is known for their adorable appearance, friendly disposition, and hypoallergenic coat. These small dogs come in various colors, from creamy white and apricot to chocolate and silver. With their intelligent and trainable nature, the Maltese Poodle thrives in active homes where they can be the center of attention.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1455758529-e1688370717758.jpg?w=1024
Manchester Terrier,https://dogtime.com/dog-breeds/manchester-terrier,3,5,3,3,3,1,3,3,4,3,3,3,3,3,1,5,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,Terrier Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",12 to 22 pounds,14 to 16 years,"The lively, spirited Manchester Terrier dog breed is a true terrier. Bred in Manchester, England for ratting and rabbit coursing, this dog has game and they love to show it. The Gentleman’s Terrier (as they’re known in Victorian England) is not a sparring dog but loves a good chase. This makes them a flyball and agility rock star.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-130848030-e1694618735168.jpg?w=1024
Mastador,https://dogtime.com/dog-breeds/mastador,3,1,2,4,3,4,2,4,5,5,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4,4,Mixed Breed Dogs,28 to 36 inches,85 to 160 pounds ,10 to 12 years ,"The Mastador is a mixed breed dog — a cross between the Mastiff and Labrador Retriever dog breeds. Large, energetic, and lovable, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/mastador-mixed-dog-breed-picture-cover.jpg?w=760
Mastiff,https://dogtime.com/dog-breeds/mastiff,2,2,1,3,3,4,1,4,5,5,2,2,4,3,5,3,3,4,5,2,3,2,4,2,2,1,4,3,3,4,4,Working Dogs,27 to 32 inches tall at the shoulder,130 to 220 pounds,6 to 10 years,"The English Mastiff, perhaps the most well known Mastiff breed aside from the Tibetan Mastiff, is one of the largest dog breeds, known for their massive size, muscular build, and gentle temperament. Originating from ancient Molossian war dogs in Greece, their exact lineage is debated, but they are believed to have played a significant role in the development of the breed. Historically, Mastiffs were employed by the Roman Empire in warfare, showcasing their bravery and strength. As time progressed, these dogs found a new purpose in medieval Europe, where they became valued guardians of castles, estates, and livestock. ",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1489183592-e1700234254918.jpg?w=1024
Miniature Pinscher,https://dogtime.com/dog-breeds/miniature-pinscher,3,5,3,5,2,1,3,3,5,3,2,3,3,2,1,5,3,5,1,3,3,3,2,3,1,5,4,4,3,4,5,Companion Dogs,10 inches to 1 foot tall at the shoulder,8 to 11 pounds,10 to 14 years,"The Miniature Pinscher dog breed was originally bred in Germany to hunt vermin, primarily rats, in homes and stables. Many people think that they were developed by breeding Dobermans to progressively smaller sizes, and indeed, they look similar to Dobermans. However, the Min Pin is a distinct and much older breed. This breed is good for people who live in apartments or small homes. They do not require a lot of exercise, but they do enjoy going for walks and playing fetch. They are also good for families with children, as they are patient and gentle.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-661905012-e1691245589685.jpg?w=1024
Miniature Schnauzer,https://dogtime.com/dog-breeds/miniature-schnauzer,4,4,3,4,5,4,4,4,5,3,3,3,2,2,1,2,3,4,2,4,5,4,2,4,3,3,4,5,3,5,4,Terrier Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",11 to 20 pounds,12 to 14 years,"The Miniature Schnauzer is a small, intelligent, and active dog breed easily identified by their “Schnauzer cut.” They are known for their wiry, double coat that comes in black, white, or salt and pepper. Miniature Schnauzers are playful and loyal dogs that make great companions for families. They are require moderate exercise and are relatively easy to train, which comes in handy if you become a pet parent to a Miniature Schnauzer puppy. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-512630175-e1692383207927.jpg?w=1024
